Idade,Genero,Serie,Media de Notas,Frequencia,Participacao em Atividades Extracurriculares,Motivo da Evasao,Renda Familiar,Localizacao,Evasao
15,Feminino,3,8.2,80%,Sim,0,909,Urbana,0
18,Feminino,1,6.7,90%,Sim,0,628,Urbana,1
16,Masculino,1,5.5,80%,Sim,0,2671,Urbana,1
15,Masculino,3,5.9,90%,Sim,Falta de Apoio Familiar,2853,Urbana,1
18,Masculino,1,9.0,50%,Não,0,2971,Rural,1
18,Feminino,2,5.8,80%,Sim,0,886,Urbana,0
18,Feminino,3,4.2,80%,Sim,0,1722,Urbana,1
18,Feminino,1,7.0,80%,Sim,0,1281,Rural,1
16,Masculino,3,3.6,90%,Não,Outros,2312,Urbana,1
18,Masculino,3,9.7,80%,Sim,Falta de Apoio Escolar,1384,Rural,1
16,Feminino,2,8.7,70%,Não,0,1156,Urbana,0
17,Masculino,3,1.6,50%,Sim,0,1714,Urbana,1
15,Masculino,3,6.8,60%,Não,0,527,Urbana,0
18,Feminino,3,0.3,60%,Sim,0,1402,Urbana,1
17,Masculino,3,8.9,90%,Não,Falta de Apoio Escolar,2912,Urbana,1
15,Masculino,3,8.4,50%,Sim,0,1054,Rural,1
15,Masculino,1,5.1,50%,Sim,0,899,Urbana,1
15,Feminino,3,1.3,60%,Não,0,2480,Rural,1
17,Masculino,1,6.2,90%,Não,0,1018,Rural,0
16,Feminino,1,2.4,70%,Sim,Falta de Interesse,1105,Rural,1
17,Masculino,2,6.3,50%,Sim,0,2403,Rural,0
18,Feminino,2,6.9,60%,Sim,0,2445,Rural,0
18,Masculino,3,1.1,70%,Não,Outros,2112,Rural,1
17,Feminino,2,4.8,70%,Não,Falta de Apoio Escolar,2612,Urbana,1
15,Feminino,1,5.9,70%,Não,Problemas de Saúde,1458,Rural,1
16,Masculino,3,2.5,80%,Não,0,550,Urbana,1
16,Masculino,2,2.0,70%,Sim,Problemas Financeiros,677,Urbana,1
16,Feminino,1,6.4,70%,Não,0,1936,Urbana,1
16,Masculino,2,7.6,60%,Não,0,1518,Rural,0
15,Feminino,3,3.6,90%,Sim,0,2997,Urbana,1
16,Masculino,2,7.1,80%,Não,Falta de Interesse,1574,Urbana,1
15,Feminino,3,5.9,60%,Sim,Problemas Familiares,2939,Rural,1
18,Masculino,3,8.1,60%,Não,0,2524,Rural,0
15,Masculino,2,2.0,70%,Sim,0,2865,Rural,0
18,Masculino,3,8.0,80%,Sim,Problemas de Saúde,994,Urbana,1
16,Masculino,3,2.7,90%,Sim,Outros,1674,Rural,1
17,Feminino,3,3.0,90%,Sim,0,1282,Rural,1
18,Feminino,3,9.8,60%,Sim,0,819,Rural,0
18,Masculino,2,0.5,80%,Sim,0,2003,Urbana,1
15,Feminino,3,1.9,60%,Não,0,2377,Urbana,0
17,Masculino,3,5.2,60%,Sim,Falta de Apoio Escolar,1064,Rural,1
18,Feminino,3,3.8,90%,Sim,0,891,Rural,1
15,Feminino,3,2.4,90%,Não,0,2952,Urbana,0
16,Masculino,1,6.8,60%,Não,Problemas de Saúde,2936,Urbana,1
18,Feminino,2,6.7,90%,Não,0,2692,Rural,0
16,Masculino,2,9.6,90%,Não,Falta de Interesse,2262,Urbana,1
18,Masculino,1,8.8,70%,Não,0,751,Urbana,0
18,Masculino,2,10.0,70%,Sim,Falta de Interesse,1379,Rural,1
17,Masculino,1,3.6,50%,Não,Problemas Financeiros,1282,Rural,1
18,Masculino,2,0.5,50%,Sim,Problemas de Saúde,1507,Urbana,1
15,Feminino,2,3.3,60%,Sim,0,1243,Urbana,0
16,Feminino,3,5.0,60%,Não,Problemas Financeiros,2563,Rural,1
16,Masculino,1,1.7,60%,Sim,Problemas Financeiros,1154,Rural,1
16,Masculino,1,0.9,60%,Sim,0,2430,Urbana,1
18,Masculino,2,4.5,90%,Não,0,1258,Rural,1
15,Masculino,1,9.3,50%,Sim,0,1096,Rural,1
18,Feminino,3,7.6,60%,Não,0,1629,Urbana,0
17,Feminino,2,3.1,70%,Não,0,1064,Rural,1
15,Masculino,2,8.9,90%,Não,Falta de Apoio Escolar,2001,Rural,1
18,Masculino,3,7.0,50%,Não,0,1335,Rural,0
18,Feminino,1,4.6,90%,Sim,0,2792,Urbana,1
17,Masculino,1,2.6,80%,Sim,Falta de Interesse,2336,Rural,1
18,Feminino,2,5.8,60%,Não,Problemas Financeiros,1742,Rural,1
17,Feminino,2,1.9,70%,Sim,0,719,Rural,0
18,Feminino,3,7.4,50%,Não,0,2294,Rural,1
15,Feminino,1,9.4,90%,Sim,Falta de Interesse,2736,Rural,1
17,Feminino,1,6.6,50%,Sim,0,2614,Rural,0
15,Feminino,1,7.2,80%,Não,0,1249,Rural,1
15,Feminino,3,1.6,70%,Não,0,2576,Rural,0
15,Feminino,3,7.5,90%,Sim,0,2797,Urbana,0
16,Feminino,2,5.0,80%,Sim,Problemas de Saúde,2403,Rural,1
16,Feminino,2,0.9,70%,Sim,0,1592,Rural,1
17,Feminino,2,3.9,60%,Sim,Problemas Familiares,1560,Rural,1
15,Masculino,2,7.3,50%,Não,Problemas de Saúde,2373,Rural,1
15,Masculino,1,5.8,80%,Sim,Problemas Financeiros,1548,Rural,1
16,Feminino,1,3.1,50%,Sim,0,790,Rural,1
18,Feminino,1,9.9,50%,Sim,0,2534,Urbana,1
15,Feminino,1,5.7,80%,Não,Problemas Financeiros,2493,Urbana,1
16,Feminino,3,9.4,80%,Não,Problemas Financeiros,1816,Urbana,1
17,Masculino,3,5.6,90%,Sim,0,2973,Rural,1
17,Masculino,1,5.6,70%,Sim,Problemas Familiares,762,Urbana,1
18,Feminino,2,0.5,60%,Não,0,2835,Rural,0
15,Masculino,1,1.0,70%,Sim,0,1006,Rural,0
16,Masculino,2,6.1,60%,Sim,0,2150,Urbana,1
16,Feminino,3,7.3,60%,Sim,Falta de Apoio Familiar,2787,Rural,1
18,Masculino,3,2.4,90%,Não,0,1504,Urbana,0
16,Feminino,2,9.6,70%,Sim,0,678,Urbana,1
16,Masculino,1,7.4,80%,Sim,0,1284,Urbana,0
18,Feminino,1,2.4,50%,Sim,Falta de Interesse,959,Urbana,1
17,Masculino,2,6.4,90%,Não,0,660,Urbana,0
18,Masculino,1,3.4,90%,Não,0,2394,Urbana,1
18,Feminino,1,7.3,90%,Sim,0,973,Urbana,0
17,Masculino,3,5.8,80%,Sim,Falta de Apoio Escolar,1050,Rural,1
17,Masculino,2,7.6,50%,Sim,0,2833,Rural,1
18,Masculino,1,2.5,60%,Sim,Problemas Familiares,2119,Urbana,1
15,Masculino,3,9.3,80%,Sim,Falta de Apoio Escolar,832,Urbana,1
17,Masculino,1,9.9,70%,Não,0,2438,Rural,1
18,Feminino,1,1.6,70%,Não,0,1588,Urbana,0
16,Masculino,2,5.1,80%,Sim,0,2973,Urbana,1
15,Feminino,1,8.6,90%,Não,Outros,1674,Rural,1
16,Masculino,3,3.5,80%,Sim,Problemas de Saúde,1182,Urbana,1
17,Masculino,1,2.4,50%,Não,0,2552,Rural,0
15,Feminino,2,7.3,60%,Não,0,2680,Rural,0
18,Feminino,1,9.8,60%,Sim,0,1926,Rural,0
15,Feminino,1,5.0,60%,Não,Falta de Interesse,2562,Rural,1
17,Feminino,2,3.9,60%,Não,0,510,Urbana,0
15,Masculino,1,3.9,90%,Não,Problemas de Saúde,806,Urbana,1
18,Masculino,1,7.9,70%,Não,0,1489,Urbana,0
18,Feminino,2,7.1,70%,Sim,Falta de Apoio Escolar,503,Rural,1
15,Masculino,1,3.2,80%,Não,0,2118,Rural,0
18,Feminino,3,9.7,60%,Sim,Outros,2910,Rural,1
15,Feminino,1,8.9,70%,Sim,Problemas Financeiros,1570,Rural,1
15,Feminino,1,7.0,50%,Não,0,2999,Urbana,0
15,Feminino,2,4.4,80%,Sim,0,1070,Urbana,1
15,Masculino,2,2.1,90%,Sim,0,1143,Urbana,1
17,Masculino,2,6.6,70%,Sim,0,2746,Urbana,0
18,Feminino,2,7.5,60%,Sim,0,1164,Rural,1
15,Masculino,1,6.0,90%,Sim,Problemas de Saúde,2219,Rural,1
18,Masculino,3,5.0,50%,Não,Problemas de Saúde,2991,Urbana,1
17,Feminino,3,1.2,50%,Sim,Problemas Financeiros,2199,Rural,1
18,Feminino,3,7.8,50%,Sim,0,1783,Urbana,1
18,Feminino,2,4.9,90%,Não,Problemas de Saúde,2034,Rural,1
16,Masculino,1,8.5,70%,Não,0,2916,Rural,0
16,Masculino,1,1.3,70%,Não,0,1083,Rural,0
16,Masculino,1,9.7,60%,Não,Falta de Interesse,2657,Rural,1
15,Feminino,3,4.9,90%,Não,0,1715,Rural,0
16,Feminino,3,0.7,70%,Sim,0,2660,Urbana,1
16,Masculino,2,2.8,80%,Sim,Falta de Apoio Familiar,1901,Rural,1
16,Feminino,3,9.0,60%,Sim,Problemas Familiares,505,Rural,1
18,Masculino,3,3.3,70%,Sim,Falta de Apoio Escolar,936,Urbana,1
15,Masculino,3,9.7,80%,Sim,0,2463,Urbana,0
18,Masculino,3,4.4,60%,Sim,0,1402,Urbana,0
16,Feminino,1,3.7,50%,Não,0,889,Rural,0
17,Feminino,3,7.9,50%,Não,0,732,Rural,0
15,Masculino,3,4.7,80%,Não,0,2110,Urbana,0
16,Feminino,3,0.8,50%,Sim,0,1147,Urbana,1
17,Masculino,3,8.3,80%,Sim,Falta de Interesse,2321,Rural,1
15,Feminino,3,7.9,60%,Não,Problemas Familiares,838,Rural,1
17,Masculino,3,5.1,70%,Não,0,547,Rural,0
15,Masculino,2,0.1,60%,Não,Falta de Interesse,2992,Rural,1
16,Feminino,2,1.4,80%,Sim,Problemas Financeiros,2867,Rural,1
18,Masculino,1,7.1,90%,Não,0,2998,Urbana,1
17,Masculino,2,5.9,90%,Não,0,797,Urbana,1
17,Masculino,1,7.0,80%,Não,Problemas Familiares,2065,Urbana,1
16,Masculino,2,3.6,50%,Não,Outros,1620,Rural,1
15,Masculino,2,6.3,80%,Sim,0,1320,Rural,0
18,Feminino,2,4.3,70%,Não,0,1037,Rural,1
16,Feminino,1,4.1,60%,Não,Outros,1159,Rural,1
16,Feminino,1,4.2,80%,Não,Problemas Financeiros,1769,Rural,1
18,Feminino,2,0.3,70%,Não,0,1103,Urbana,1
15,Feminino,2,0.6,90%,Não,Problemas Familiares,966,Urbana,1
17,Feminino,1,8.5,80%,Sim,0,1461,Rural,0
17,Feminino,1,7.0,50%,Sim,0,1397,Rural,1
18,Feminino,2,2.3,80%,Sim,0,1105,Urbana,1
17,Masculino,2,1.2,90%,Não,0,2273,Urbana,1
18,Masculino,2,0.4,70%,Não,0,2518,Rural,1
18,Masculino,2,4.8,80%,Não,0,2818,Urbana,0
18,Masculino,1,5.9,80%,Não,Falta de Apoio Familiar,734,Rural,1
17,Feminino,3,9.0,50%,Sim,Outros,2066,Rural,1
16,Feminino,1,9.2,80%,Sim,Problemas Familiares,2429,Urbana,1
17,Feminino,1,3.7,60%,Não,Problemas Familiares,2986,Rural,1
17,Feminino,3,9.3,80%,Sim,0,891,Rural,1
18,Masculino,3,5.5,70%,Não,0,666,Rural,0
17,Feminino,1,5.7,60%,Sim,0,592,Urbana,0
18,Masculino,1,1.8,50%,Não,0,2121,Urbana,1
18,Masculino,3,1.2,70%,Não,0,2763,Rural,0
17,Feminino,3,2.4,50%,Sim,0,1945,Urbana,1
17,Feminino,3,1.2,80%,Sim,Falta de Apoio Familiar,1281,Rural,1
18,Feminino,1,2.2,80%,Sim,Falta de Interesse,609,Rural,1
15,Masculino,2,5.4,80%,Sim,Falta de Apoio Familiar,2204,Urbana,1
16,Feminino,3,8.7,90%,Não,Problemas de Saúde,2858,Rural,1
17,Feminino,2,7.9,90%,Sim,Problemas Familiares,1973,Urbana,1
18,Feminino,2,0.3,90%,Não,0,558,Rural,0
17,Masculino,1,7.0,60%,Sim,0,2651,Rural,0
16,Feminino,1,0.5,90%,Não,Outros,1376,Rural,1
17,Feminino,2,10.0,80%,Não,Problemas Financeiros,1597,Rural,1
16,Feminino,1,7.8,80%,Sim,0,773,Urbana,0
15,Feminino,3,2.3,50%,Não,Problemas Financeiros,805,Rural,1
17,Feminino,3,4.9,70%,Não,0,1613,Urbana,0
17,Masculino,2,7.4,70%,Sim,0,749,Urbana,0
18,Masculino,2,8.4,60%,Não,0,615,Urbana,1
15,Feminino,3,2.3,70%,Não,0,1214,Urbana,0
18,Masculino,3,1.3,60%,Não,0,2835,Rural,1
17,Masculino,2,9.3,50%,Não,0,1365,Rural,1
18,Masculino,3,6.7,80%,Não,0,2805,Urbana,1
15,Feminino,1,8.8,80%,Sim,Problemas Familiares,2004,Urbana,1
15,Masculino,1,2.3,60%,Sim,0,2719,Urbana,0
17,Feminino,2,1.3,90%,Não,0,1338,Urbana,1
15,Masculino,1,3.5,50%,Sim,Falta de Apoio Familiar,1490,Urbana,1
17,Feminino,2,2.5,80%,Sim,0,2894,Rural,1
18,Masculino,1,0.7,80%,Sim,Falta de Apoio Escolar,2010,Urbana,1
17,Feminino,1,6.4,50%,Não,0,1157,Urbana,1
17,Feminino,2,2.5,60%,Não,0,1792,Rural,1
18,Masculino,3,4.5,90%,Sim,0,1896,Rural,1
15,Feminino,2,2.9,60%,Não,0,1435,Urbana,1
15,Masculino,2,9.2,50%,Sim,0,2404,Urbana,1
15,Masculino,3,4.5,70%,Sim,0,816,Urbana,0
16,Masculino,1,8.8,60%,Sim,0,1498,Rural,1
17,Feminino,2,0.4,70%,Sim,Problemas Financeiros,1682,Rural,1
15,Masculino,2,5.4,50%,Não,0,2781,Urbana,0
16,Feminino,2,4.5,70%,Sim,0,2275,Rural,1
17,Masculino,1,3.3,80%,Sim,Falta de Interesse,922,Urbana,1
18,Feminino,1,3.0,70%,Sim,Problemas Financeiros,1787,Rural,1
17,Feminino,3,2.7,90%,Sim,Falta de Interesse,2790,Rural,1
17,Masculino,2,2.0,90%,Não,0,2358,Urbana,0
18,Feminino,3,4.9,50%,Não,Falta de Interesse,2625,Urbana,1
16,Feminino,3,3.5,90%,Sim,Problemas Familiares,1800,Rural,1
15,Masculino,2,3.3,70%,Não,0,977,Urbana,1
15,Feminino,2,0.7,80%,Não,0,788,Rural,0
15,Feminino,3,0.1,50%,Não,0,2344,Rural,1
18,Feminino,1,9.1,60%,Não,0,2987,Urbana,1
18,Feminino,3,4.1,80%,Não,0,2528,Rural,1
15,Feminino,1,6.8,60%,Não,0,2988,Rural,1
17,Masculino,1,4.5,50%,Sim,Problemas de Saúde,586,Rural,1
17,Masculino,3,2.0,60%,Não,0,2777,Urbana,1
15,Feminino,2,9.3,80%,Não,Falta de Interesse,1073,Rural,1
15,Feminino,3,1.2,90%,Sim,Problemas Financeiros,1450,Urbana,1
18,Feminino,3,4.8,50%,Sim,0,1562,Urbana,1
15,Feminino,1,0.9,90%,Não,0,1488,Rural,0
16,Masculino,3,2.3,90%,Sim,Problemas Familiares,1188,Urbana,1
17,Feminino,2,6.9,90%,Não,Outros,918,Urbana,1
15,Masculino,3,5.3,80%,Não,0,2229,Urbana,0
15,Masculino,3,5.5,70%,Sim,Outros,2786,Rural,1
18,Feminino,1,8.3,90%,Não,Falta de Apoio Familiar,645,Urbana,1
16,Masculino,2,0.6,70%,Não,0,2838,Urbana,1
18,Feminino,2,9.0,50%,Sim,0,641,Rural,1
15,Masculino,1,6.5,60%,Sim,Falta de Apoio Familiar,517,Urbana,1
17,Feminino,2,6.4,90%,Não,0,2057,Urbana,0
16,Feminino,2,0.3,70%,Sim,0,726,Urbana,0
16,Masculino,3,9.1,50%,Sim,Problemas Financeiros,1443,Rural,1
16,Feminino,1,0.3,80%,Não,0,1690,Urbana,0
18,Feminino,2,1.9,50%,Não,Problemas Familiares,1683,Urbana,1
15,Masculino,1,9.0,80%,Não,0,1360,Urbana,0
15,Feminino,3,1.3,60%,Não,Problemas Familiares,2650,Rural,1
15,Masculino,2,4.0,60%,Não,0,614,Rural,1
16,Masculino,1,7.6,70%,Sim,Problemas Financeiros,1764,Rural,1
16,Masculino,2,5.6,80%,Não,Problemas de Saúde,2360,Urbana,1
17,Masculino,1,7.3,80%,Sim,0,2969,Rural,1
16,Feminino,3,1.9,60%,Não,Problemas Familiares,1079,Urbana,1
15,Masculino,3,4.1,50%,Sim,Falta de Interesse,2569,Urbana,1
15,Masculino,2,5.0,50%,Sim,0,2697,Rural,1
16,Feminino,2,2.4,70%,Sim,0,1486,Urbana,0
17,Masculino,1,10.0,60%,Sim,0,2870,Urbana,0
16,Masculino,2,6.7,60%,Não,Problemas Financeiros,1556,Urbana,1
16,Masculino,3,8.8,90%,Não,0,729,Urbana,1
18,Feminino,3,3.9,70%,Não,Problemas Familiares,2197,Rural,1
16,Masculino,3,9.2,60%,Sim,Falta de Apoio Escolar,1751,Urbana,1
15,Feminino,2,2.5,90%,Sim,0,2478,Urbana,1
15,Masculino,1,1.6,80%,Sim,0,1428,Urbana,0
15,Masculino,3,7.9,90%,Não,0,2139,Urbana,0
18,Masculino,3,9.7,60%,Não,Problemas Financeiros,1669,Urbana,1
18,Masculino,2,0.6,50%,Sim,0,1405,Urbana,1
16,Feminino,2,1.0,70%,Sim,Problemas Familiares,2464,Rural,1
17,Feminino,2,3.2,80%,Sim,Falta de Apoio Familiar,2809,Urbana,1
16,Feminino,2,5.3,50%,Não,0,2666,Urbana,1
18,Masculino,1,7.0,70%,Não,0,821,Urbana,0
16,Masculino,2,9.6,80%,Sim,Falta de Interesse,735,Urbana,1
18,Feminino,1,1.2,80%,Sim,0,633,Rural,0
15,Feminino,1,3.6,60%,Não,0,2782,Rural,0
15,Masculino,3,2.7,90%,Não,Falta de Apoio Escolar,696,Rural,1
18,Feminino,3,8.1,50%,Sim,Falta de Interesse,1450,Urbana,1
16,Feminino,2,1.6,90%,Não,0,519,Rural,1
17,Masculino,3,8.8,60%,Sim,0,2534,Urbana,0
15,Feminino,1,7.7,60%,Sim,Problemas Financeiros,1153,Urbana,1
17,Feminino,2,8.8,50%,Não,Falta de Apoio Escolar,511,Rural,1
18,Masculino,2,9.7,80%,Sim,Problemas Familiares,1355,Urbana,1
18,Feminino,2,5.7,70%,Não,Problemas Familiares,1882,Urbana,1
17,Masculino,2,4.6,80%,Não,0,1066,Urbana,0
18,Feminino,3,4.9,90%,Não,Problemas de Saúde,1087,Rural,1
16,Feminino,2,9.0,50%,Não,0,2844,Urbana,0
16,Masculino,1,2.1,60%,Não,Problemas de Saúde,2537,Urbana,1
16,Masculino,2,3.8,80%,Sim,0,1107,Urbana,0
18,Masculino,3,6.4,50%,Sim,Problemas Familiares,1015,Rural,1
17,Masculino,1,7.2,70%,Sim,0,1003,Urbana,1
15,Feminino,3,0.6,60%,Sim,Falta de Apoio Familiar,1654,Rural,1
15,Feminino,3,9.8,80%,Não,0,2491,Rural,1
16,Masculino,3,3.3,60%,Não,Problemas Familiares,758,Urbana,1
15,Masculino,3,2.1,90%,Sim,0,781,Rural,1
18,Feminino,2,3.1,70%,Não,0,1913,Rural,1
17,Feminino,3,9.8,70%,Sim,Falta de Interesse,2564,Rural,1
18,Masculino,2,6.7,70%,Não,Problemas Financeiros,1638,Urbana,1
18,Masculino,2,2.5,90%,Sim,Falta de Interesse,636,Rural,1
17,Masculino,3,2.0,80%,Não,Problemas Financeiros,1221,Urbana,1
15,Feminino,1,0.7,80%,Sim,0,1644,Rural,1
17,Masculino,3,3.6,80%,Sim,Problemas Familiares,1090,Rural,1
18,Feminino,3,8.2,80%,Sim,Falta de Apoio Escolar,1089,Urbana,1
17,Masculino,2,2.8,80%,Sim,Problemas de Saúde,1068,Rural,1
17,Masculino,2,3.7,50%,Não,Falta de Apoio Escolar,2295,Rural,1
16,Feminino,2,7.6,90%,Sim,0,1839,Urbana,1
16,Masculino,2,7.0,70%,Não,Problemas Familiares,2915,Rural,1
18,Masculino,3,4.1,80%,Não,0,1524,Rural,0
18,Masculino,1,1.6,80%,Sim,0,1434,Rural,1
15,Feminino,1,8.9,70%,Sim,0,2407,Urbana,1
18,Feminino,1,5.8,70%,Não,Falta de Apoio Escolar,2184,Rural,1
15,Masculino,1,2.6,50%,Sim,Falta de Interesse,1332,Urbana,1
15,Masculino,2,2.4,90%,Não,0,823,Urbana,1
17,Masculino,3,4.5,60%,Sim,0,867,Rural,1
17,Feminino,2,4.0,50%,Sim,0,561,Rural,1
18,Masculino,2,0.7,60%,Não,0,2843,Rural,0
16,Masculino,3,9.4,50%,Não,0,1839,Rural,1
16,Feminino,3,7.9,90%,Não,0,708,Rural,0
15,Masculino,3,5.0,90%,Sim,0,973,Urbana,1
18,Feminino,2,3.3,60%,Não,Problemas Familiares,1005,Rural,1
15,Masculino,1,1.8,80%,Sim,0,1460,Rural,1
17,Masculino,2,1.7,80%,Não,Problemas Financeiros,789,Urbana,1
18,Feminino,2,2.4,80%,Sim,Problemas de Saúde,1805,Rural,1
18,Feminino,3,2.2,60%,Não,0,1192,Urbana,0
16,Masculino,2,7.1,80%,Sim,Problemas Financeiros,1188,Rural,1
18,Masculino,1,7.7,70%,Não,Problemas Financeiros,2966,Urbana,1
16,Feminino,1,3.6,70%,Sim,Falta de Apoio Familiar,2152,Urbana,1
18,Feminino,2,1.6,90%,Não,0,2076,Urbana,0
17,Feminino,3,6.4,60%,Não,Outros,1446,Rural,1
15,Masculino,2,3.3,80%,Não,Problemas de Saúde,2155,Rural,1
16,Masculino,1,9.3,70%,Sim,Falta de Interesse,2586,Rural,1
16,Masculino,1,7.9,80%,Sim,0,2695,Urbana,0
18,Masculino,2,9.9,50%,Não,Problemas Familiares,1673,Urbana,1
18,Masculino,1,8.9,80%,Sim,0,919,Urbana,1
18,Feminino,2,0.1,90%,Sim,Falta de Interesse,891,Urbana,1
16,Masculino,1,0.6,50%,Sim,0,1016,Urbana,0
16,Masculino,3,9.0,60%,Não,0,2601,Urbana,0
16,Masculino,1,1.2,80%,Não,0,893,Rural,0
18,Masculino,2,6.0,80%,Não,0,1464,Urbana,0
18,Masculino,2,3.5,50%,Não,0,2443,Urbana,0
17,Feminino,3,0.3,90%,Sim,0,592,Rural,0
17,Feminino,1,0.8,90%,Sim,0,612,Rural,0
17,Feminino,2,7.7,90%,Não,0,2481,Rural,1
15,Feminino,1,8.4,60%,Não,Problemas Familiares,2550,Rural,1
18,Feminino,3,3.6,50%,Não,Problemas Familiares,2301,Rural,1
18,Masculino,2,2.5,70%,Não,Falta de Interesse,2363,Rural,1
16,Masculino,3,4.9,60%,Não,0,649,Urbana,1
17,Feminino,2,1.5,90%,Não,0,1988,Rural,0
18,Feminino,1,6.2,90%,Não,0,1090,Rural,1
